Rule,Support,Confidence
a_N-A-Num-Dem=0 --> h_Dem-N-Num-A=0, 6, 0.011111111111111112
h_Dem-N-Num-A=0 --> a_N-A-Num-Dem=0, 6, 0.07407407407407407
d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0 --> e_Num-N-A-Dem=0, 5, 0.08196721311475409
d_Dem-Num-N-A=0 --> e_Num-N-A-Dem=0 & b_Dem-Num-A-N=0, 5, 0.02577319587628866
e_Num-N-A-Dem=0 & b_Dem-Num-A-N=0 --> d_Dem-Num-N-A=0, 5, 0.7142857142857143
b_Dem-Num-A-N=0 --> e_Num-N-A-Dem=0 & d_Dem-Num-N-A=0, 5, 0.013623978201634877
e_Num-N-A-Dem=0 --> d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0, 5, 0.02032520325203252
e_Num-N-A-Dem=0 & d_Dem-Num-N-A=0 --> b_Dem-Num-A-N=0, 5, 0.3333333333333333
d_Dem-Num-N-A=0 --> g_N-Num-A-Dem=0, 5, 0.02577319587628866
g_N-Num-A-Dem=0 --> d_Dem-Num-N-A=0, 5, 0.04
l_N-Dem-Num-A=0 --> c_Dem-N-A-Num=0, 5, 0.06666666666666667
c_Dem-N-A-Num=0 --> l_N-Dem-Num-A=0, 5, 0.026595744680851064
n_N-Dem-A-Num=0 --> a_N-A-Num-Dem=0, 5, 0.11627906976744186
a_N-A-Num-Dem=0 --> n_N-Dem-A-Num=0, 5, 0.009259259259259259
b_Dem-Num-A-N=0 --> h_Dem-N-Num-A=0, 5, 0.013623978201634877
h_Dem-N-Num-A=0 --> b_Dem-Num-A-N=0, 5, 0.06172839506172839
i_Dem-A-N-Num=0 --> a_N-A-Num-Dem=0, 5, 0.0625
a_N-A-Num-Dem=0 --> i_Dem-A-N-Num=0, 5, 0.009259259259259259
m_Num-A-N-Dem=0 --> d_Dem-Num-N-A=0, 5, 0.0625
d_Dem-Num-N-A=0 --> m_Num-A-N-Dem=0, 5, 0.02577319587628866
f_N-A-Dem-Num=0 --> e_Num-N-A-Dem=0, 5, 0.04672897196261682
e_Num-N-A-Dem=0 --> f_N-A-Dem-Num=0, 5, 0.02032520325203252
f_N-A-Dem-Num=0 --> p_A-N-Dem-Num=0, 5, 0.04672897196261682
p_A-N-Dem-Num=0 --> f_N-A-Dem-Num=0, 5, 0.19230769230769232
l_N-Dem-Num-A=0 --> g_N-Num-A-Dem=0, 5, 0.06666666666666667
g_N-Num-A-Dem=0 --> l_N-Dem-Num-A=0, 5, 0.04
b_Dem-Num-A-N=0 --> r_Dem-A-Num-N=0, 5, 0.013623978201634877
r_Dem-A-Num-N=0 --> b_Dem-Num-A-N=0, 5, 0.7142857142857143
i_Dem-A-N-Num=0 & b_Dem-Num-A-N=0 --> d_Dem-Num-N-A=0, 4, 0.16666666666666666
i_Dem-A-N-Num=0 --> d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0, 4, 0.05
d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0 --> i_Dem-A-N-Num=0, 4, 0.06557377049180328
b_Dem-Num-A-N=0 --> d_Dem-Num-N-A=0 & i_Dem-A-N-Num=0, 4, 0.010899182561307902
d_Dem-Num-N-A=0 --> i_Dem-A-N-Num=0 & b_Dem-Num-A-N=0, 4, 0.020618556701030927
d_Dem-Num-N-A=0 & i_Dem-A-N-Num=0 --> b_Dem-Num-A-N=0, 4, 1.0
a_N-A-Num-Dem=0 & g_N-Num-A-Dem=0 --> h_Dem-N-Num-A=0, 4, 0.058823529411764705
g_N-Num-A-Dem=0 --> h_Dem-N-Num-A=0 & a_N-A-Num-Dem=0, 4, 0.032
a_N-A-Num-Dem=0 --> h_Dem-N-Num-A=0 & g_N-Num-A-Dem=0, 4, 0.007407407407407408
h_Dem-N-Num-A=0 & g_N-Num-A-Dem=0 --> a_N-A-Num-Dem=0, 4, 0.5
h_Dem-N-Num-A=0 & a_N-A-Num-Dem=0 --> g_N-Num-A-Dem=0, 4, 0.6666666666666666
h_Dem-N-Num-A=0 --> a_N-A-Num-Dem=0 & g_N-Num-A-Dem=0, 4, 0.04938271604938271
b_Dem-Num-A-N=0 & m_Num-A-N-Dem=0 --> d_Dem-Num-N-A=0, 4, 0.3333333333333333
m_Num-A-N-Dem=0 --> d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0, 4, 0.05
d_Dem-Num-N-A=0 & m_Num-A-N-Dem=0 --> b_Dem-Num-A-N=0, 4, 0.8
d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0 --> m_Num-A-N-Dem=0, 4, 0.06557377049180328
b_Dem-Num-A-N=0 --> d_Dem-Num-N-A=0 & m_Num-A-N-Dem=0, 4, 0.010899182561307902
d_Dem-Num-N-A=0 --> b_Dem-Num-A-N=0 & m_Num-A-N-Dem=0, 4, 0.020618556701030927
n_N-Dem-A-Num=0 --> f_N-A-Dem-Num=0, 4, 0.09302325581395349
f_N-A-Dem-Num=0 --> n_N-Dem-A-Num=0, 4, 0.037383177570093455
i_Dem-A-N-Num=0 --> o_A-N-Num-Dem=0, 4, 0.05
o_A-N-Num-Dem=0 --> i_Dem-A-N-Num=0, 4, 0.08888888888888889
d_Dem-Num-N-A=0 --> l_N-Dem-Num-A=0, 4, 0.020618556701030927
l_N-Dem-Num-A=0 --> d_Dem-Num-N-A=0, 4, 0.05333333333333334
c_Dem-N-A-Num=0 --> g_N-Num-A-Dem=0, 4, 0.02127659574468085
g_N-Num-A-Dem=0 --> c_Dem-N-A-Num=0, 4, 0.032
o_A-N-Num-Dem=0 --> g_N-Num-A-Dem=0, 4, 0.08888888888888889
g_N-Num-A-Dem=0 --> o_A-N-Num-Dem=0, 4, 0.032
i_Dem-A-N-Num=0 --> d_Dem-Num-N-A=0, 4, 0.05
d_Dem-Num-N-A=0 --> i_Dem-A-N-Num=0, 4, 0.020618556701030927
n_N-Dem-A-Num=0 --> g_N-Num-A-Dem=0, 4, 0.09302325581395349
g_N-Num-A-Dem=0 --> n_N-Dem-A-Num=0, 4, 0.032
o_A-N-Num-Dem=0 & i_Dem-A-N-Num=0 --> a_N-A-Num-Dem=0, 3, 0.75
a_N-A-Num-Dem=0 & i_Dem-A-N-Num=0 --> o_A-N-Num-Dem=0, 3, 0.6
i_Dem-A-N-Num=0 --> a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0, 3, 0.0375
a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0 --> i_Dem-A-N-Num=0, 3, 0.125
o_A-N-Num-Dem=0 --> a_N-A-Num-Dem=0 & i_Dem-A-N-Num=0, 3, 0.06666666666666667
a_N-A-Num-Dem=0 --> o_A-N-Num-Dem=0 & i_Dem-A-N-Num=0, 3, 0.005555555555555556
g_N-Num-A-Dem=0 & l_N-Dem-Num-A=0 --> a_N-A-Num-Dem=0, 3, 0.6
a_N-A-Num-Dem=0 & l_N-Dem-Num-A=0 --> g_N-Num-A-Dem=0, 3, 0.42857142857142855
l_N-Dem-Num-A=0 --> a_N-A-Num-Dem=0 & g_N-Num-A-Dem=0, 3, 0.04
a_N-A-Num-Dem=0 & g_N-Num-A-Dem=0 --> l_N-Dem-Num-A=0, 3, 0.04411764705882353
g_N-Num-A-Dem=0 --> a_N-A-Num-Dem=0 & l_N-Dem-Num-A=0, 3, 0.024
a_N-A-Num-Dem=0 --> g_N-Num-A-Dem=0 & l_N-Dem-Num-A=0, 3, 0.005555555555555556
g_N-Num-A-Dem=0 & o_A-N-Num-Dem=0 --> a_N-A-Num-Dem=0, 3, 0.75
a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0 --> g_N-Num-A-Dem=0, 3, 0.125
o_A-N-Num-Dem=0 --> a_N-A-Num-Dem=0 & g_N-Num-A-Dem=0, 3, 0.06666666666666667
a_N-A-Num-Dem=0 & g_N-Num-A-Dem=0 --> o_A-N-Num-Dem=0, 3, 0.04411764705882353
g_N-Num-A-Dem=0 --> a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0, 3, 0.024
a_N-A-Num-Dem=0 --> g_N-Num-A-Dem=0 & o_A-N-Num-Dem=0, 3, 0.005555555555555556
c_Dem-N-A-Num=0 & l_N-Dem-Num-A=0 --> h_Dem-N-Num-A=0, 3, 0.6
l_N-Dem-Num-A=0 --> h_Dem-N-Num-A=0 & c_Dem-N-A-Num=0, 3, 0.04
c_Dem-N-A-Num=0 --> h_Dem-N-Num-A=0 & l_N-Dem-Num-A=0, 3, 0.015957446808510637
h_Dem-N-Num-A=0 & l_N-Dem-Num-A=0 --> c_Dem-N-A-Num=0, 3, 0.375
h_Dem-N-Num-A=0 & c_Dem-N-A-Num=0 --> l_N-Dem-Num-A=0, 3, 0.125
h_Dem-N-Num-A=0 --> c_Dem-N-A-Num=0 & l_N-Dem-Num-A=0, 3, 0.037037037037037035
g_N-Num-A-Dem=0 & c_Dem-N-A-Num=0 --> h_Dem-N-Num-A=0, 3, 0.75
c_Dem-N-A-Num=0 --> h_Dem-N-Num-A=0 & g_N-Num-A-Dem=0, 3, 0.015957446808510637
g_N-Num-A-Dem=0 --> h_Dem-N-Num-A=0 & c_Dem-N-A-Num=0, 3, 0.024
h_Dem-N-Num-A=0 & c_Dem-N-A-Num=0 --> g_N-Num-A-Dem=0, 3, 0.125
h_Dem-N-Num-A=0 & g_N-Num-A-Dem=0 --> c_Dem-N-A-Num=0, 3, 0.375
h_Dem-N-Num-A=0 --> g_N-Num-A-Dem=0 & c_Dem-N-A-Num=0, 3, 0.037037037037037035
o_A-N-Num-Dem=0 & c_Dem-N-A-Num=0 --> a_N-A-Num-Dem=0, 3, 1.0
a_N-A-Num-Dem=0 & c_Dem-N-A-Num=0 --> o_A-N-Num-Dem=0, 3, 0.0967741935483871
c_Dem-N-A-Num=0 --> a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0, 3, 0.015957446808510637
a_N-A-Num-Dem=0 & o_A-N-Num-Dem=0 --> c_Dem-N-A-Num=0, 3, 0.125
o_A-N-Num-Dem=0 --> a_N-A-Num-Dem=0 & c_Dem-N-A-Num=0, 3, 0.06666666666666667
a_N-A-Num-Dem=0 --> o_A-N-Num-Dem=0 & c_Dem-N-A-Num=0, 3, 0.005555555555555556
d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0 --> a_N-A-Num-Dem=0, 3, 0.04918032786885246
a_N-A-Num-Dem=0 & b_Dem-Num-A-N=0 --> d_Dem-Num-N-A=0, 3, 0.5
b_Dem-Num-A-N=0 --> a_N-A-Num-Dem=0 & d_Dem-Num-N-A=0, 3, 0.008174386920980926
a_N-A-Num-Dem=0 --> d_Dem-Num-N-A=0 & b_Dem-Num-A-N=0, 3, 0.005555555555555556
a_N-A-Num-Dem=0 & d_Dem-Num-N-A=0 --> b_Dem-Num-A-N=0, 3, 0.42857142857142855
d_Dem-Num-N-A=0 --> a_N-A-Num-Dem=0 & b_Dem-Num-A-N=0, 3, 0.015463917525773196
b_Dem-Num-A-N=0 & m_Num-A-N-Dem=0 --> e_Num-N-A-Dem=0, 3, 0.25
m_Num-A-N-Dem=0 --> e_Num-N-A-Dem=0 & b_Dem-Num-A-N=0, 3, 0.0375
e_Num-N-A-Dem=0 & m_Num-A-N-Dem=0 --> b_Dem-Num-A-N=0, 3, 0.14285714285714285
