;a_N-A-Num-Dem;f_N-A-Dem-Num;l_N-Dem-Num-A;n_N-Dem-A-Num;g_N-Num-A-Dem;q_N-Num-Dem-A;b_Dem-Num-A-N;d_Dem-Num-N-A;h_Dem-N-Num-A;c_Dem-N-A-Num;r_Dem-A-Num-N;i_Dem-A-N-Num;e_Num-N-A-Dem;m_Num-A-N-Dem;s_Num-Dem-A-N;t_Num-A-Dem-N;u_Num Dem N A;v_Num-N-Dem-A;o_A-N-Num-Dem;w_A-Dem-Num-N;p_A-N-Dem-Num;x_A-Num-Dem-N;y_A-Num-N-Dem;z_A-Dem-N-Num
a_N-A-Num-Dem;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
f_N-A-Dem-Num;0.13608102434276553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
l_N-Dem-Num-A;0.9929465042992875;0.25258149838983324;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
n_N-Dem-A-Num;0.950347741758742;0.43761944109826745;0.9805401508795257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
g_N-Num-A-Dem;0.0;0.9807485239447234;0.05877558416821099;0.2536110790575218;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
q_N-Num-Dem-A;0.9883895360765415;0.0;0.9634032965132209;0.8920311962415879;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b_Dem-Num-A-N;0.7771330099262479;0.0;0.6970353508328097;0.5427034584144271;0.0;0.8637322538195398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
d_Dem-Num-N-A;0.8835052625264033;0.5842921440466262;0.9328109964666882;0.9854051995296589;0.4145695054842622;0.8020748774337065;0.3918065790369806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
h_Dem-N-Num-A;0.97366193941015;0.3583725763314577;0.9938262268340597;0.9962676554002792;0.16916878719311973;0.9277152053387151;0.6131783078774748;0.9670338733124737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
c_Dem-N-A-Num;0.9927653045961793;0.25405060487017533;0.9999988468676573;0.9808371572776544;0.06029152965366291;0.9629951051833745;0.6959456273153503;0.9333571865295065;0.9939935705514801;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_Dem-A-Num-N;0.866826766817274;0.611929888091205;0.9198293517919749;0.9789490894217788;0.44570397670477213;0.7810031972953115;0.3598466430588628;0.9994052504799786;0.9576774600869072;0.9204240814510949;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
