;a_N-A-Num-Dem;f_N-A-Dem-Num;l_N-Dem-Num-A;n_N-Dem-A-Num;g_N-Num-A-Dem;q_N-Num-Dem-A;b_Dem-Num-A-N;d_Dem-Num-N-A;h_Dem-N-Num-A;c_Dem-N-A-Num;r_Dem-A-Num-N;i_Dem-A-N-Num;e_Num-N-A-Dem;m_Num-A-N-Dem;s_Num-Dem-A-N;t_Num-A-Dem-N;u_Num Dem N A;v_Num-N-Dem-A;o_A-N-Num-Dem;w_A-Dem-Num-N;p_A-N-Dem-Num;x_A-Num-Dem-N;y_A-Num-N-Dem;z_A-Dem-N-Num
i_Dem-A-N-Num;0.0;0.0;0.0;0.0;0.0;0.03054623305607146;0.5300995839301099;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
e_Num-N-A-Dem;0.960386266060768;0.4067703018189816;0.9866524672120307;0.9994209142322924;0.22054969362021132;0.9068939437115193;0.5709692866943967;0.9790423164544088;0.9986278653358794;0.9868986247913767;0.9714371289324497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
m_Num-A-N-Dem;0.43213009992584156;0.0;0.3221604140932441;0.13003928095006578;0.0;0.56413514663059;0.9033652129208352;0.0;0.21513876974761043;0.3207223700242543;0.0;0.8425293700383013;0.16370204066940836;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
s_Num-Dem-A-N;0.9812470655287489;0.3244902885246437;0.9971794087370048;0.9925091098963943;0.13353487429847288;0.940567023681099;0.6412522300686307;0.9572271241242281;0.9993502225926452;0.997292240015802;0.9466803007393826;0.0;0.996091461613481;0.2501984469466588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
t_Num-A-Dem-N;0.0;0.0;0.0;0.0;0.0;0.0;0.37083690279363796;0.0;0.0;0.0;0.0;0.9840563991639338;0.0;0.7332938380237886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
u_Num Dem N A;0.9422137828518076;0.0;0.8958477509886582;0.7911783130705107;0.0;0.9821763987869919;0.9430608122306214;0.6755239986698565;0.8410160681471992;0.8951718939817789;0.6496958775621152;0.217875567727439;0.81153056945769;0.7092767333881875;0.8599694842710912;0.04081788397380326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
v_Num-N-Dem-A;0.0;0.0;0.0;0.0;0.0;0.0;0.14333532412218336;0.0;0.0;0.0;0.0;0.9151617616674792;0.0;0.5539278060535254;0.0;0.9722624690522903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
o_A-N-Num-Dem;0.9807359486987233;0.3269806260372919;0.9969782558294469;0.9928274633003159;0.13614481231940495;0.9396692361750947;0.6392288648733299;0.9579859161033811;0.9994416940928892;0.9970950757427066;0.9475256214654605;0.0;0.9963206608370607;0.24764736324856074;0.9999965310397707;0.0;0.8586222557446798;0.0;0.0;0.0;0.0;0.0;0.0;0.0
w_A-Dem-Num-N;0.9744569413162101;0.35509046130349314;0.9942098820098446;0.9959582502363902;0.16570512071838484;0.9290209399184033;0.6159498031471666;0.9661332617468117;0.9999938284875667;0.9943719218139153;0.9566602810725293;0.0;0.9984377206587198;0.21856843246473218;0.999470685167932;0.0;0.8429115863988166;0.0;0.9995529077856338;0.0;0.0;0.0;0.0;0.0
p_A-N-Dem-Num;0.9818563344906553;0.32147436959009296;0.9974135232418262;0.9921147482980015;0.13037602891408212;0.9416444795055567;0.6436942305720856;0.9563002296242638;0.9992302883061466;0.9975215278654114;0.9456488181325857;0.0;0.9958049290674358;0.2532825291126355;0.9999949224359239;0.0;0.8615914392325831;0.0;0.9999830597354913;0.9993619394305155;0.0;0.0;0.0;0.0
x_A-Num-Dem-N;0.0;0.9877289969075362;0.09836847498312118;0.2918207561922455;0.9992113306773199;0.0;0.0;0.450377429366879;0.20817095436815292;0.09987963489789875;0.48089819020092217;0.0;0.25910586685093423;0.0;0.17278183160269245;0.0;0.0;0.0;0.1753756082912155;0.20473337779383655;0.16964217484769478;0.0;0.0;0.0
y_A-Num-N-Dem;0.4796477752374759;0.9345696807072896;0.5802992062783088;0.7288892396425194;0.8471028604544721;0.3407563564684571;0.0;0.8347927514700972;0.6670728922825608;0.5815353215359159;0.8532819111033253;0.0;0.7051711949675153;0.0;0.6397873211888924;0.0;0.1579705481894955;0.0;0.6418094608312336;0.664451424204679;0.6373349224705942;0.867536700050123;0.0;0.0
z_A-Dem-N-Num;0.9477254983479071;0.0;0.9032087599811145;0.8013721926417556;0.0;0.9852043920238932;0.9373216961077689;0.6878534375960221;0.8500135587452986;0.902555916459788;0.6624141492557754;0.20139781314096566;0.8212619204880908;0.6972967797327169;0.8684475329464114;0.023974480840895818;0.999858000844962;0.0;0.8671386374405412;0.851858959877696;0.8700230324643377;0.0;0.17458817535553223;0.0
